City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,82.33,light rain,3.0707,172.7902,Isles Sunset Lodge
4,Rikitea,PF,77.0,broken clouds,-23.1203,-134.9692,Pension Maro'i
7,Atuona,PF,78.64,few clouds,-9.8,-139.0333,Villa Enata
10,Georgetown,MY,84.88,moderate rain,5.4112,100.3354,Cititel Penang
14,Statesboro,US,81.93,overcast clouds,32.4488,-81.7832,Holiday Inn Statesboro-University Area
17,Mumford,GH,82.72,overcast clouds,5.2618,-0.759,Spanish Villa
19,Lata,PT,82.04,clear sky,40.1629,-8.3327,Casa Maquia
21,Aksay,RU,80.82,light rain,47.26,39.87,Chernaya Zhemchuzhina
22,Bandarbeyla,SO,80.11,clear sky,9.4942,50.8122,JABIR HOTEL
26,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Cap Malheureux,MU,75.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
47,Rock Sound,BS,77.85,clear sky,24.9,-76.2,Rock Sound Club
48,Kavaratti,IN,83.71,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
49,San Carlos Del Zulia,VE,87.91,overcast clouds,9.0,-71.9135,Hotel El Manantial
50,Bandundu,CD,83.55,overcast clouds,-3.3167,17.3667,Coja Color
52,Kavieng,PG,81.86,light rain,-2.5744,150.7967,Nusa Island Retreat
55,Ribeirao,BR,79.11,broken clouds,-8.5144,-35.3778,Pousada Talismar
63,Waingapu,ID,75.11,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
70,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
72,Faanui,PF,79.12,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
81,Tarakan,ID,82.38,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
85,Salalah,OM,84.09,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
87,Vila Velha,BR,85.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
96,Bosaso,SO,89.1,clear sky,11.2842,49.1816,Red Sea Hotel
100,Jibuti,DJ,89.98,broken clouds,11.5,42.5,Orchid Main Camp Goubet
102,Shahpur,IN,82.47,moderate rain,16.7,76.8333,Sai Deluxe Shahapur
104,Soritor,PE,83.44,scattered clouds,-6.1392,-77.1039,Casa Hospedaje El Porton
107,Banda Aceh,ID,80.89,overcast clouds,5.5577,95.3222,Sulthan Hotel International
108,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
110,Malpe,IN,79.9,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
112,Tingo Maria,PE,82.71,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
114,Matara,LK,78.75,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
118,Caiaponia,BR,84.79,overcast clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
123,Pahrump,US,82.26,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
125,Ngawi,ID,76.33,overcast clouds,-7.4038,111.4461,GWA KOST NGAWI (dpan Klurahan Ketanggi) 63211 ; 081234123860
129,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
138,Kollam,IN,78.67,scattered clouds,8.8833,76.6,Nani Hotels and Resorts
153,Mogadishu,SO,78.6,broken clouds,2.0371,45.3438,Hotel Juba
155,Joao Pinheiro,BR,85.96,overcast clouds,-17.7425,-46.1725,Hotel Santos
159,Manokwari,ID,78.96,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
162,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
164,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
166,Lucea,JM,85.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
168,Moroni,KM,77.0,broken clouds,-11.7022,43.2551,Hotel les Arcades
169,La Asuncion,VE,83.93,clear sky,11.0333,-63.8628,Colinas de Matasiete
170,Dingle,PH,78.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
171,Victoria,HK,86.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
179,Palmas Del Socorro,CO,77.45,overcast clouds,6.4067,-73.2869,Finca La Esperanza
180,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
181,Muros,ES,75.69,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
183,Port-Gentil,GA,82.36,light rain,-0.7193,8.7815,Fengshui Residence
186,Rio Claro,BR,85.82,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
189,Tefe,BR,86.11,scattered clouds,-3.3542,-64.7114,Aracati Hotel
191,Cortez,US,78.03,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
195,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
199,Labuhan,ID,78.53,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
214,Carupano,VE,85.19,clear sky,10.6678,-63.2585,Hotel La dorada
215,Kerema,PG,76.69,overcast clouds,-7.9631,145.7785,Frena Lodge
222,Bengkulu,ID,75.7,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
232,Eyl,SO,81.5,overcast clouds,7.9803,49.8164,Amiin Hotel
235,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
237,Milledgeville,US,84.22,broken clouds,33.0801,-83.2321,Hampton Inn Milledgeville
