City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,46.26,76,90,1.99,overcast clouds
1,Butaritari,KI,3.0707,172.7902,82.33,81,100,15.86,light rain
2,Mataura,NZ,-46.1927,168.8643,49.48,97,100,3.49,light rain
3,Kurilsk,RU,45.2333,147.8833,42.78,96,100,14.25,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,77.0,85,72,19.01,broken clouds
5,Chokurdakh,RU,70.6333,147.9167,45.09,59,9,9.1,clear sky
6,Cape Town,ZA,-33.9258,18.4232,63.01,68,20,1.99,few clouds
7,Atuona,PF,-9.8,-139.0333,78.64,71,12,11.01,few clouds
8,Griffith,US,41.5284,-87.4237,59.9,48,1,5.99,clear sky
9,Seymchan,RU,62.8833,152.4333,37.85,72,13,6.93,few clouds
10,Georgetown,MY,5.4112,100.3354,84.88,82,20,3.0,moderate rain
11,Hermanus,ZA,-34.4187,19.2345,59.9,83,23,5.39,light rain
12,Hearst,CA,49.6835,-83.6665,59.25,21,10,4.43,clear sky
13,Carnarvon,AU,-24.8667,113.6333,66.27,82,90,10.36,overcast clouds
14,Statesboro,US,32.4488,-81.7832,81.93,61,90,5.75,overcast clouds
15,Avarua,CK,-21.2078,-159.775,71.65,73,20,3.44,few clouds
16,Kruisfontein,ZA,-34.0033,24.7314,54.88,85,50,18.32,light rain
17,Mumford,GH,5.2618,-0.759,82.72,76,100,8.95,overcast clouds
18,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,75,5.75,broken clouds
19,Lata,PT,40.1629,-8.3327,82.04,54,0,8.34,clear sky
20,Aklavik,CA,68.2191,-135.0107,31.03,86,90,6.91,overcast clouds
21,Aksay,RU,47.26,39.87,80.82,70,92,6.89,light rain
22,Bandarbeyla,SO,9.4942,50.8122,80.11,84,7,28.23,clear sky
23,Necochea,AR,-38.5473,-58.7368,51.04,54,96,22.91,overcast clouds
24,Avera,US,33.194,-82.5271,82.9,40,76,14.12,broken clouds
25,Bluff,NZ,-46.6,168.3333,49.8,87,100,19.75,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,75.49,88,75,4.61,broken clouds
27,Hilo,US,19.7297,-155.09,72.63,85,20,4.61,light rain
28,Abu Dhabi,AE,24.4667,54.3667,91.51,58,0,9.42,clear sky
29,Khandyga,RU,62.6667,135.6,49.69,94,100,5.37,light rain
30,Ushuaia,AR,-54.8,-68.3,31.62,93,75,16.11,light snow
31,Port Elizabeth,ZA,-33.918,25.5701,62.89,67,20,23.02,few clouds
32,Cabo San Lucas,MX,22.8909,-109.9124,94.8,54,40,4.61,scattered clouds
33,Busselton,AU,-33.65,115.3333,54.09,83,86,8.05,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,45.9,75,44,3.0,scattered clouds
35,Tiksi,RU,71.6872,128.8694,29.8,98,93,8.05,overcast clouds
36,Ponta Do Sol,PT,32.6667,-17.1,73.13,62,38,4.72,scattered clouds
37,Barrow,US,71.2906,-156.7887,30.22,86,90,10.36,overcast clouds
38,Chuy,UY,-33.6971,-53.4616,57.83,57,45,17.47,scattered clouds
39,Bredasdorp,ZA,-34.5322,20.0403,58.28,88,8,7.05,clear sky
40,Cap Malheureux,MU,-19.9842,57.6142,75.69,89,11,3.0,light rain
41,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,87,75,1.21,broken clouds
42,Upernavik,GL,72.7868,-56.1549,31.51,94,92,14.76,overcast clouds
43,Cardinal,CA,44.7834,-75.3826,63.82,27,1,11.86,clear sky
44,College,US,64.8569,-147.8028,43.0,49,75,14.97,broken clouds
45,Goundam,ML,16.4145,-3.6708,107.31,12,100,13.62,overcast clouds
46,Lasa,IT,46.6166,10.7002,65.28,84,98,6.29,overcast clouds
