City_ID,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed,Max Temp
0,Jamestown,US,2021-05-29 00:42:16,42.097,-79.2353,97,90,5.99,44.1
1,Camacha,PT,2021-05-29 00:42:16,33.0833,-16.3333,72,20,6.91,63.54
2,Kavieng,PG,2021-05-29 00:42:16,-2.5744,150.7967,70,39,10.4,85.05
3,Atuona,PF,2021-05-29 00:42:17,-9.8,-139.0333,73,10,14.25,78.96
4,College,US,2021-05-29 00:37:51,64.8569,-147.8028,41,75,1.01,48.18
5,Rikitea,PF,2021-05-29 00:42:17,-23.1203,-134.9692,74,60,20.83,76.57
6,Ambulu,ID,2021-05-29 00:42:18,-8.345,113.6058,80,97,1.41,79.81
7,La Sarre,CA,2021-05-29 00:42:18,48.8002,-79.1996,46,0,7.52,41.2
8,Butaritari,KI,2021-05-29 00:42:18,3.0707,172.7902,80,100,15.61,82.49
9,Sovetskiy,RU,2021-05-29 00:42:19,61.3614,63.5842,78,100,7.45,50.76
10,Saint George,US,2021-05-29 00:39:15,37.1041,-113.5841,7,1,11.5,93.99
11,Saskylakh,RU,2021-05-29 00:42:19,71.9167,114.0833,60,83,12.41,41.43
12,Elizabeth City,US,2021-05-29 00:42:19,36.2946,-76.2511,65,75,1.99,87.85
13,Cape Town,ZA,2021-05-29 00:42:20,-33.9258,18.4232,95,75,1.01,59.41
14,Mahebourg,MU,2021-05-29 00:41:06,-20.4081,57.7,94,75,3.44,74.25
15,Ushuaia,AR,2021-05-29 00:42:20,-54.8,-68.3,100,90,23.02,29.86
16,Hilo,US,2021-05-29 00:38:35,19.7297,-155.09,65,75,9.22,85.28
17,New Norfolk,AU,2021-05-29 00:42:20,-42.7826,147.0587,59,9,1.86,48.92
18,Hermanus,ZA,2021-05-29 00:42:21,-34.4187,19.2345,86,31,13.29,57.9
19,Longyearbyen,SJ,2021-05-29 00:41:31,78.2186,15.6401,59,20,16.11,31.84
20,East London,ZA,2021-05-29 00:42:21,-33.0153,27.9116,64,5,13.0,62.33
21,Kapaa,US,2021-05-29 00:42:21,22.0752,-159.319,69,20,1.99,82.72
22,Hudson Bay,CA,2021-05-29 00:42:21,52.85,-102.3842,56,100,13.51,63.32
23,Tuktoyaktuk,CA,2021-05-29 00:42:22,69.4541,-133.0374,74,90,10.36,30.2
24,Castro,BR,2021-05-29 00:42:22,-24.7911,-50.0119,64,33,15.46,69.85
25,Tuy Hoa,VN,2021-05-29 00:42:22,13.0833,109.3,68,33,4.65,86.07
26,Puerto Ayora,EC,2021-05-29 00:42:23,-0.7393,-90.3518,93,51,4.0,74.55
27,Kruisfontein,ZA,2021-05-29 00:42:23,-34.0033,24.7314,72,7,18.52,57.88
28,Nenjiang,CN,2021-05-29 00:42:23,49.1833,125.2167,70,100,7.87,55.72
29,Sorong,ID,2021-05-29 00:42:24,-0.8833,131.25,84,11,11.12,81.37
30,Cochabamba,BO,2021-05-29 00:42:24,-17.3895,-66.1568,36,40,9.22,64.15
31,Kavali,IN,2021-05-29 00:42:24,14.9167,79.9833,54,13,13.33,88.97
32,Airai,TL,2021-05-29 00:42:25,-8.9266,125.4092,71,91,3.91,66.31
33,Engels,RU,2021-05-29 00:40:47,51.5,46.1167,62,100,8.59,57.25
34,Ust-Omchug,RU,2021-05-29 00:42:25,61.15,149.6333,99,100,6.58,36.07
35,Mataura,NZ,2021-05-29 00:42:25,-46.1927,168.8643,95,100,3.94,49.48
36,Qaanaaq,GL,2021-05-29 00:42:26,77.484,-69.3632,81,98,6.22,39.78
37,Mamlyutka,KZ,2021-05-29 00:42:26,54.9375,68.5394,57,87,7.81,58.51
38,Lasa,IT,2021-05-29 00:38:12,46.6166,10.7002,61,0,5.75,52.0
39,Nagua,DO,2021-05-29 00:42:26,19.3832,-69.8474,78,40,7.25,80.65
40,Nikolskoye,RU,2021-05-29 00:42:27,59.7035,30.7861,94,100,2.95,49.39
41,Uwajima,JP,2021-05-29 00:42:27,33.2238,132.56,60,100,12.73,69.76
42,Sitka,US,2021-05-29 00:42:27,57.0531,-135.33,76,90,11.5,48.09
43,Gravdal,NO,2021-05-29 00:42:27,68.1214,13.5031,73,19,0.74,42.46
44,Tuscaloosa,US,2021-05-29 00:40:59,33.2098,-87.5692,90,100,8.95,76.86
45,Bluff,NZ,2021-05-29 00:42:28,-46.6,168.3333,85,100,24.96,49.8
46,Seoul,KR,2021-05-29 00:42:28,37.5683,126.9778,63,40,7.4,65.8
47,Vaini,TO,2021-05-29 00:42:28,-21.2,-175.2,73,40,6.91,78.96
48,Porto Empedocle,IT,2021-05-29 00:42:29,37.2934,13.5264,69,100,2.64,66.9
49,Pevek,RU,2021-05-29 00:42:29,69.7008,170.3133,76,55,3.4,37.67
50,San Andres,CO,2021-05-29 00:38:26,12.5847,-81.7006,74,20,11.5,84.2
51,Fort Nelson,CA,2021-05-29 00:42:30,58.8053,-122.7002,21,75,3.44,67.59
52,Upington,ZA,2021-05-29 00:42:30,-28.4478,21.2561,61,0,2.3,46.78
53,Villanueva De La Serena,ES,2021-05-29 00:42:30,38.9766,-5.7974,54,0,2.68,69.84
54,La Paz,BO,2021-05-29 00:37:43,-16.5,-68.15,31,52,5.75,49.98
55,Koumac,NC,2021-05-29 00:42:31,-20.5667,164.2833,60,9,10.33,74.16
56,Grand Gaube,MU,2021-05-29 00:42:31,-20.0064,57.6608,78,95,3.0,74.37
57,Ujkigyos,HU,2021-05-29 00:42:31,46.5833,21.0333,78,74,3.71,51.91
58,Chuy,UY,2021-05-29 00:42:32,-33.6971,-53.4616,93,0,7.81,55.44
59,Punta Arenas,CL,2021-05-29 00:42:32,-53.15,-70.9167,69,20,21.83,35.71
60,Vardo,NO,2021-05-29 00:42:32,70.3705,31.1107,72,94,25.43,35.56
61,Hobart,AU,2021-05-29 00:42:33,-42.8794,147.3294,64,75,4.12,49.26
62,Loa Janan,ID,2021-05-29 00:42:33,-0.583,117.095,79,6,1.88,83.46
63,Yellowknife,CA,2021-05-29 00:42:33,62.456,-114.3525,38,40,3.0,59.56
64,Tam Ky,VN,2021-05-29 00:42:34,15.5667,108.4833,59,58,0.29,89.58
65,Port Macquarie,AU,2021-05-29 00:42:34,-31.4333,152.9167,71,68,17.11,61.9
66,Tasiilaq,GL,2021-05-29 00:42:34,65.6145,-37.6368,92,100,30.53,42.96
67,Khatanga,RU,2021-05-29 00:42:35,71.9667,102.5,71,89,13.78,43.81
68,Qaqortoq,GL,2021-05-29 00:42:35,60.7167,-46.0333,80,14,12.01,50.5
69,Severouralsk,RU,2021-05-29 00:42:35,60.1533,59.952,98,100,5.84,52.93
70,Lebu,CL,2021-05-29 00:40:11,-37.6167,-73.65,87,17,6.49,51.57
71,Mitu,CO,2021-05-29 00:42:36,1.1983,-70.1733,99,96,0.89,72.66
